"island_name","Pseudozizeeria.maha","Lycaena.phlaeas","Polygonia.caureum","Pieris.rapae","Papilio.xuthus","Pieris.canidia","Papilio.polytes","Eurema.hecabe","Papilio.bianor","Graphium.sarpedon","Lampides.boeticus","Tongeia.filicaudis","Ypthima.motschulskyi","Chilades.pandava","Hestin.aassimilis","Everes.argiades","Parnara.guttata","Kaniska.canace","Argyreus.hyperbius","Pachliopta.aristolochiae","Colias.erate","Sericinus.montelus","Limenitis.sulpitia","Vanessa.indica","Mycalesis.gotama","Charaxes.bernardus","Celastrina.argiola","Neope.muirheadi","Pelopidas.agna","Pelopidas.mathias","Potanthus.flavus","Papilio.machaon","Hypolimnas.bolina","Celastrina.oreas","Papilio.protenor","Neptis.sappho","Damora.sagana","Vanessa.cardui","Polyura.narcaea","Caltoris.cahira","Ampittia.dioscorides","Rapala.takasagonis","Apatura.ilia","Curetis.acuta","Minois.dryas","Byasa.alcinous","Papilio.memnon","Potanthus.confucius","Mycalesis.mineus","Junonia.almama","Telicota.ancilla","Caltoris.cormasa","Polyura.nepenthes","Parnara.bada","Thymelicus.leoninus","Danaus.chrysippus","Ampittia.nana","Udara.albocaerulea","Papilio.helenus","Lethe.europa","Arhopala.rama","Danaus.genutia","Limenitis.homeyeri","Neptis.pryeri","Araschnia.doris","Ypthima.balda","Satyrium.eximium","Neptis.hylas"
"26",5,1,11,12,0,9,2,7,1,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",121,0,0,0,3,0,0,0,1,0,0,2,74,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",56,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",24,0,1,0,0,5,6,11,5,1,1,0,25,55,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",25,30,22,20,21,18,18,31,2,19,5,20,11,10,2,3,0,3,1,4,2,1,5,2,1,2,1,0,0,1,2,0,2,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"30",102,0,0,1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",39,33,29,5,3,24,11,8,1,0,3,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",5,0,2,3,7,0,4,2,4,2,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",10,15,2,1,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",12,15,44,2,1,49,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",22,7,7,2,20,0,15,12,4,12,2,1,7,0,2,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",17,7,17,6,5,6,3,11,2,5,7,2,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",40,25,51,44,20,6,38,18,3,87,11,0,1,5,0,0,1,3,0,2,0,3,13,2,0,1,2,2,5,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,14,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",33,12,28,73,5,9,19,12,11,5,9,0,1,0,0,1,0,1,1,0,3,0,0,0,0,0,0,1,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",229,61,58,16,11,69,51,7,2,4,0,1,0,0,8,5,2,1,0,12,0,3,0,0,0,0,2,0,0,0,0,0,3,5,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",56,19,33,52,2,45,24,39,13,33,21,2,18,33,0,1,1,2,1,0,2,1,0,1,0,0,0,1,1,1,0,0,11,0,6,0,1,0,0,2,0,4,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"8",34,3,0,4,1,7,1,7,2,11,0,1,0,0,1,0,0,0,0,4,0,0,88,7,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"9",46,3,0,2,5,11,8,17,14,19,16,1,7,4,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
