"island_name","Hamadryas.feronia..Linnaeus..1758.","Callicore.sorana..Godart...1824..","Catonephele.acontius..Linnaeus..1771.","Myscelia.orsis..Drury..1782.","Tribe.Preponini","Archaeoprepona.demophoon..Hu.Ì.bner...1814..","Fountainea.ryphea..Cramer..1775.","Memphis.moruus..Fabr.Ì.Ä.cius..1775.","Blepolenis.batea..Hu.Ì.bner...1821..","Caligo.arisbe..Hu.Ì.bner...1822..","Dasyophthalma.rusina..Godart...1824..","Eryphanis.automedon..Cramer..1775.","Opoptera.syme..Hu.Ì.bner...1821..","Opsiphanes.invirae..Hu.Ì.bner...1808..","Carminda.griseldis","Erichthodes.narapa..Schaus..1902.","Forsterinaria.necys..Godart...1824..","Forsterinaria.quantius..Godart...1824..","Godartiana.muscosa..A..Butler..1870.","Hermeuptychia.sp.","Moneuptychia.itapeva..Freitas..2007.","Moneuptychia.soter..A..Butler..1877.","Paryphthimoides.eous..A..Butler..1867.","Paryphthimoides.phronius..Godart...1824..","Paryphthimoides.poltys..Prittwitz..1865.","Pharneuptychia.sp.","Pharneuptychia.phares..Godart...1824..","Praepedaliodes.phanias..Hewitson..1862.","Yphthimoides.angularis..A..Butler..1867.","Yphthimoides.manasses..C..Felder...R..Felder..1867.","Yphthimoides.ochracea..A..Butler..1867.","Yphthimoides.pacta..Weymer..1911.","Yphthimoides.straminea..A..Butler..1867.","Yphthimoides.yphthima..C..Felder...R..Felder..1867.","Zischkaia.pronophila..Butler..1867."
"10",0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,1,7,65,0,0,5,0,0,0,0,0,0,0,0,0,0,10,1,0
"11",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,1,0,0,2,1,0,0,7,0,0
"3",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,3,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0
"4",0,0,0,0,0,2,0,0,0,13,1,3,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"5",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,22,9,5,15,1,13,3,2,1,0,1,0,2,1,1,1,0
"7",0,0,0,0,0,1,0,0,3,5,0,0,4,0,0,0,0,0,23,4,1,20,0,3,1,1,0,0,9,0,0,0,3,0,0
"8",0,1,0,0,0,0,1,0,4,4,1,0,4,0,0,0,0,1,34,0,1,0,0,0,1,0,0,0,0,0,1,0,35,0,0
"9",1,0,0,0,0,0,0,0,1,1,0,1,12,1,0,0,10,12,13,0,0,0,0,0,0,0,0,1,0,0,0,0,10,1,0
